date,txVolume(USD),txCount,marketcap(USD),price(USD),exchangeVolume(USD),generatedCoins,fees,activeAddresses
2017-07-22,4317554.51379,3338,143869000.0,26.78,1070060.0,7626.14818831,11.61068966,null,
2017-07-23,4445996.49533,3003,161983000.0,30.11,828897.0,6839.94734415,11.22903867,null,
2017-07-24,4449300.62924,3236,151585000.0,28.14,853258.0,7436.94428484,12.78802243,null,
2017-07-25,4162692.84159,2926,152478000.0,28.27,1679880.0,6587.3511328,11.78785168,null,
2017-07-26,5963948.25821,3193,139150000.0,25.76,519526.0,7205.21937047,12.26618021,null,
2017-07-27,28593034.9997,2964,140044000.0,25.89,444541.0,6168.95216867,12.52937564,null,
2017-07-28,12548012.3981,3467,136730000.0,25.25,1466680.0,7657.67406426,15.51258874,null,
2017-07-29,4083248.65631,3109,125663000.0,23.18,2558920.0,6207.87300253,14.80836318,null,
2017-07-30,11686076.4313,3762,164663000.0,30.33,1908450.0,7477.66520761,15.21151535,null,
2017-07-31,5445290.76203,3365,142923000.0,26.29,1306050.0,7146.83811971,17.81996451,null,
2017-08-01,9533992.65903,3350,157743000.0,28.98,1189560.0,6811.14592754,22.22444438,null,
2017-08-02,4812515.81937,3335,159476000.0,29.26,692111.0,6854.93186565,21.68577026,null,
2017-08-03,4360506.71565,3162,159211000.0,29.18,626260.0,7122.51259855,9.19326063,null,
2017-08-04,4447389.12747,3047,156776000.0,28.69,545456.0,6835.47144874,8.28382271999,null,
2017-08-05,5180917.50849,3522,154871000.0,28.31,959859.0,7604.15791768,21.22132327,null,
2017-08-06,7423117.35431,2921,166393000.0,30.37,659951.0,6086.24539669,27.3785964,null,
2017-08-07,7984312.19573,3498,167328000.0,30.51,958877.0,7161.43343238,20.06570926,null,
2017-08-08,10901952.0794,4012,168415000.0,30.67,978874.0,6927.90842916,16.8828343,null,
2017-08-09,6941509.73493,3648,174444000.0,31.73,1420520.0,7764.70635736,17.35579759,null,
2017-08-10,5999362.85392,3029,162243000.0,29.47,862145.0,6631.1370709,14.9768894,null,
2017-08-11,4929771.03308,3207,155440000.0,28.2,1910380.0,6854.93186567,10.75860419,null,
2017-08-12,5166941.021,3394,147601000.0,26.74,1688200.0,6777.09019793,15.74402388,null,
2017-08-13,5526499.19307,3126,145710000.0,26.37,1232020.0,6806.28082332,14.47513038,null,
2017-08-14,5641264.80785,3530,140380000.0,25.37,1706170.0,7184.55471982,18.14270655,null,
2017-08-15,6517431.02789,3582,129238000.0,23.33,1976850.0,6921.93542834,19.98468142,null,
2017-08-16,6332702.47019,3400,166699000.0,30.05,1203980.0,7085.71121455,13.56427169,null,
2017-08-17,3653340.30716,2837,145531000.0,26.2,975883.0,5934.46377715,12.24385493,null,
2017-08-18,8625048.01112,3171,135614000.0,24.39,794764.0,7071.26040974,13.65345323,null,
2017-08-19,8659266.26402,3238,132181000.0,23.74,1297340.0,7244.67006557,14.41094336,null,
2017-08-20,5291578.50015,3125,151313000.0,27.14,976831.0,7167.59910742,12.4791205,null,
2017-08-21,4529582.33558,3147,146632000.0,26.27,934142.0,6382.43872135,15.96799369,null,
2017-08-22,4721177.45788,2915,153117000.0,27.4,1131900.0,6396.88952597,13.8984149,null,
2017-08-23,5842914.10991,3376,145282000.0,25.97,876055.0,7649.29259586,13.01625065,null,
2017-08-24,4951790.38764,3246,147963000.0,26.41,2852650.0,7225.40232604,13.36583299,null,
2017-08-25,5354425.11429,3085,174411000.0,31.09,1982100.0,6425.7911353,11.98802235,null,
2017-08-26,7021666.4378,3338,194536000.0,34.64,4209060.0,6300.55082832,13.89672696,null,
2017-08-27,17567109.0251,3727,215803000.0,38.39,3136050.0,7321.74102374,13.37869658,null,
2017-08-28,7949995.10122,3454,229128000.0,40.7,2252980.0,6994.18945162,13.57786124,null,
2017-08-29,9699335.16619,3495,223165000.0,39.59,2636660.0,7634.84179118,14.68313894,null,
2017-08-30,12971477.4774,2871,199655000.0,35.37,1773310.0,6247.5645446,12.67479998,null,
2017-08-31,142801282.097,2234,216516000.0,38.32,1380050.0,6772.61044692,10.18901421,null,
2017-09-01,127641474.54,2654,215536000.0,38.1,1876320.0,7548.13696327,9.86193275996,null,
2017-09-02,7467359.06801,2055,232566000.0,41.05,1128560.0,6632.91933529,9.39762039,null,
2017-09-03,8022834.29952,1975,205793000.0,36.29,646132.0,7268.75473996,8.01419298999,null,
2017-09-04,7505359.11392,2087,206928000.0,36.44,1541850.0,6854.49833996,14.00734205,null,
2017-09-05,7147037.04279,2492,183293000.0,32.24,1176300.0,8471.55768914,11.08907577,null,
2017-09-06,5210396.69957,1909,192361000.0,33.79,918098.0,5780.32186152,8.22003889,null,
2017-09-07,6693904.4805,2138,196639000.0,34.51,726765.0,7673.71111814,9.40302222001,null,
2017-09-08,12255421.2805,1828,193444000.0,33.9,1296220.0,6347.86171426,8.58235739,null,
2017-09-09,7173058.94164,1835,180165000.0,31.54,788176.0,6390.7848964,10.45590623,null,
2017-09-10,5331517.81706,1836,175700000.0,30.72,906475.0,6982.17096144,8.45687749,null,
2017-09-11,5378302.51451,1973,164109000.0,28.66,998634.0,6858.17065748,10.59868958,null,
2017-09-12,5574393.21795,2045,165834000.0,28.93,847669.0,7311.24869118,9.3646039,null,
2017-09-13,6071557.75352,1908,157889000.0,27.51,1649640.0,6529.09292774,9.12166791998,null,
2017-09-14,5359201.85531,1987,150699000.0,26.22,1921540.0,6614.93929202,9.28900941,null,
2017-09-15,4755557.03389,2347,138667000.0,24.1,2353720.0,7587.86475386,10.24446832,null,
2017-09-16,4923810.44292,1912,170410000.0,29.58,1029260.0,6438.477321,8.19763347001,null,
2017-09-17,5013128.99947,1639,178125000.0,30.89,706172.0,6581.5545948,10.28237651,null,
2017-09-18,9817235.24793,2046,170259000.0,29.49,1157730.0,6467.09277576,10.60153804,null,
2017-09-19,6196873.29014,2051,179257000.0,31.01,1782770.0,7025.09414358,10.30187107,null,
2017-09-20,8101323.85422,2847,187570000.0,32.41,5887380.0,7440.0182376,12.95080057,null,
2017-09-21,6809991.21419,2173,208604000.0,36.0,3104750.0,6648.32398924,9.35057651,null,
2017-09-22,5393362.24176,1863,185250000.0,31.93,1478070.0,6076.01489404,8.33350782,null,
2017-09-23,5017029.79995,1899,178795000.0,30.79,1658140.0,6896.32459716,9.75240564,null,
2017-09-24,6002765.74255,1963,216445000.0,37.23,1230700.0,7769.09596734,8.63128708999,null,
2017-09-25,4946476.99514,1806,196539000.0,33.76,1251560.0,6486.1697456,9.32613373,null,
2017-09-26,5270112.17006,1854,203777000.0,34.96,955503.0,6873.37556944,9.94346963001,null,
2017-09-27,4889603.45369,1790,196921000.0,33.74,1591530.0,6233.06935412,9.96042404,null,
2017-09-28,5967872.60247,1879,211480000.0,36.2,1082720.0,7002.75897893,10.65074842,null,
2017-09-29,4955507.79147,1872,202656000.0,34.65,636638.0,7323.8564911,6.09923064,null,
2017-09-30,4801111.70132,1638,200263000.0,34.2,577705.0,5789.19926376,3.20514218001,null,
2017-10-01,5941254.45968,2106,202154000.0,34.49,769357.0,7569.40164748,24.40578283,null,
2017-10-02,5239138.03537,1944,194309000.0,33.1,1346750.0,6511.66866618,8.71079902001,null,
2017-10-03,5773870.18411,1820,200443000.0,34.11,756207.0,6450.28237707,9.17018724996,null,
2017-10-04,4439635.98127,1756,185787000.0,31.58,583156.0,7026.36909012,7.31176109,null,
2017-10-05,4839208.38355,1669,181640000.0,30.84,535107.0,6412.50619917,7.1796419,null,
2017-10-06,4833432.3784,1839,178854000.0,30.34,579396.0,7149.1416683,6.70238636,null,
2017-10-07,4030253.28639,1632,181077000.0,30.68,450194.0,7125.53155712,6.55609323,null,
2017-10-08,4196114.65516,1566,176166000.0,29.81,890223.0,6247.23542084,10.41349333,null,
2017-10-09,3816564.02146,1697,162116000.0,27.4,1145220.0,6313.34373218,9.96337350001,null,
2017-10-10,8768114.16702,1883,156740000.0,26.46,855310.0,6804.43404492,9.57571504,null,
2017-10-11,3811318.42549,1639,164998000.0,27.83,530678.0,6643.88528884,7.89306426999,null,
2017-10-12,7161816.77354,2089,164484000.0,27.71,814095.0,7286.0803132,10.15240841,null,
2017-10-13,5068929.9761,1938,170806000.0,28.74,820954.0,6488.05855498,9.42636895,null,
2017-10-14,4277076.74536,1666,164193000.0,27.6,530962.0,6577.77697749,8.53861569001,null,
2017-10-15,4228241.97615,1752,168369000.0,28.27,430738.0,6398.34013245,10.56831468,null,
2017-10-16,4724153.46121,1870,165330000.0,27.73,509012.0,6870.54235627,8.72785884001,null,
2017-10-17,4168252.51238,1964,162532000.0,27.23,582969.0,7385.47654335,9.28115264999,null,
2017-10-18,5121213.03568,1816,171811000.0,28.74,515494.0,6596.80532378,10.36003117,null,
2017-10-19,4157663.0705,1822,164046000.0,27.41,296157.0,6147.97944774,7.16871976999,null,
2017-10-20,4565670.27103,2040,163937000.0,27.37,717252.0,7083.03335616,10.19860226,null,
2017-10-21,7981856.38676,1988,147917000.0,24.67,813369.0,6839.91933997,8.46340753003,null,
2017-10-22,12621561.7902,1697,149159000.0,24.84,399806.0,6493.94939389,11.48065915,null,
2017-10-23,76906470.9063,2266,157850000.0,26.26,599996.0,6797.84191412,9.6367936501,null,
2017-10-24,21408729.1635,1612,141305000.0,23.48,1110740.0,6475.2483157,9.87220778042,null,
2017-10-25,2429679.73766,1344,165660000.0,27.5,2207130.0,5946.94285749,8.78695838,null,
2017-10-26,3368711.23286,1573,209077000.0,34.68,1918150.0,7026.93012167,8.4637156,null,
2017-10-27,4310014.35633,1463,182148000.0,30.17,731325.0,6727.71287098,5.86475042,null,
2017-10-28,3496597.85875,1428,179462000.0,29.7,874341.0,7036.28066076,5.30692003,null,
2017-10-29,4483475.68421,1532,185115000.0,30.6,1562360.0,5675.77722411,15.41871751,null,
2017-10-30,9650136.40846,2002,177022000.0,29.23,725660.0,6035.77297889,8.69496895998,null,
2017-10-31,5239358.12547,1819,182804000.0,30.16,827355.0,7372.90006778,5.74199504,null,
2017-11-01,6649750.73731,1843,173173000.0,28.53,674856.0,6666.93436693,20.57692016,null,
2017-11-02,9392519.6791,1946,163871000.0,26.97,1047120.0,6550.05262837,8.64011962001,null,
2017-11-03,4120004.40815,1788,150680000.0,24.77,868381.0,5708.5041108,7.86421235,null,
2017-11-04,6378657.18981,2086,168366000.0,27.65,1261680.0,7349.52372007,6.81405712001,null,
2017-11-05,4821796.18768,1784,177812000.0,29.17,663890.0,6470.57304617,10.85916427,null,
2017-11-06,5554547.83345,1951,175152000.0,28.7,765875.0,7036.28066075,8.88749936999,null,
2017-11-07,6853270.99047,2049,175780000.0,28.77,719772.0,6428.07901212,9.40506969996,null,
2017-11-08,5171812.94675,1831,178933000.0,29.26,1376420.0,6202.83285701,9.21532835002,null,
2017-11-09,5751727.10908,2191,193102000.0,31.54,1319970.0,6975.87247431,10.10169155,null,
2017-11-10,8747302.18449,2232,203552000.0,33.21,1915030.0,7110.11288684,10.98146694,null,
2017-11-11,4993009.52773,1728,185105000.0,30.17,1123000.0,5545.51773335,8.41121413999,null,
2017-11-12,5517329.35213,2099,187209000.0,30.48,1481680.0,6188.94591777,9.29739585,null,
2017-11-13,8388573.84802,2259,181499000.0,29.52,1190620.0,7123.99982611,11.40836317,null,
2017-11-14,5028299.44852,1888,196289000.0,31.89,598313.0,6554.6353176,7.24217865,null,
2017-11-15,6419405.56785,2092,210956000.0,34.24,1392810.0,6471.3136822,8.50242028,null,
2017-11-16,6302626.70509,2119,211980000.0,34.37,930075.0,6985.13043376,8.79242535003,null,
2017-11-17,5795586.1202,1958,201045000.0,32.56,774417.0,6827.74512247,9.36665768,null,
2017-11-18,5579764.14101,1746,198149000.0,32.05,889428.0,5485.34099672,6.54327489999,null,
2017-11-19,6116923.21743,2026,219909000.0,35.54,1314670.0,6688.87573016,10.72165432,null,
2017-11-20,6848322.9581,1979,217053000.0,35.04,1003650.0,7267.49819814,11.2746843,null,
2017-11-21,7537930.00363,1803,208798000.0,33.67,1105250.0,5962.12591033,8.82745686001,null,
2017-11-22,6155230.70259,2130,211720000.0,34.11,2837990.0,7063.82308942,8.60558100001,null,
2017-11-23,7292384.51252,2114,250978000.0,40.39,5145980.0,6411.13694554,7.83381879999,null,
2017-11-24,7631585.27359,2200,269568000.0,43.34,7656400.0,6716.64960863,8.99469833999,null,
2017-11-25,9775728.93269,2035,297129000.0,47.71,5058140.0,6374.10510757,13.2951934501,null,
2017-11-26,11782931.0544,2739,309762000.0,49.69,16942800.0,6804.60022377,9.63085635,null,
2017-11-27,29647007.6597,3582,383774000.0,61.5,11913600.0,6448.16878341,10.28964735,null,
2017-11-28,13270721.7696,2692,366970000.0,58.74,7372390.0,6568.52225681,11.76928276,null,
2017-11-29,64936951.8283,2980,349196000.0,55.84,10574400.0,6474.15523468,11.68893565,null,
2017-11-30,32913951.9177,2298,311003000.0,49.68,9936510.0,6508.07053208,13.22520904,null,
2017-12-01,8896795.57201,1915,356206000.0,56.84,3625560.0,6879.30554129,8.85444429,null,
2017-12-02,19362054.5029,1870,364935000.0,58.17,3053320.0,6223.91533983,26.03002238,null,
2017-12-03,8184899.96113,1819,350282000.0,55.78,3757050.0,5944.34329584,8.70064304,null,
2017-12-04,10373256.1103,2096,340275000.0,54.14,2959120.0,7058.04832352,9.41710885,null,
2017-12-05,16594274.1406,2294,370074000.0,58.81,3611860.0,6489.73793905,8.94664058,null,
2017-12-06,13232352.7457,2268,353151000.0,56.06,5100420.0,6095.58718851,12.98747156,null,
2017-12-07,11354325.4774,2281,316535000.0,50.2,5119330.0,6402.65812205,10.46985151,null,
2017-12-08,18427893.8923,2239,316353000.0,50.12,5471720.0,6301.82886029,10.48508638,null,
2017-12-09,11415473.1601,1986,356309000.0,56.4,2095120.0,6443.90645642,7.27394419,null,
2017-12-10,10188123.6044,2068,339925000.0,53.75,4826340.0,6668.48072127,5.94718024,null,
2017-12-11,11149655.841,2037,355557000.0,56.16,2280320.0,6535.56942165,6.22291201,null,
2017-12-12,16565914.0529,2565,369218000.0,58.26,4423800.0,6741.81109342,17.05525099,null,
2017-12-13,17164975.9211,3203,461910000.0,72.81,7515370.0,7410.95073978,11.60412926,null,
2017-12-14,12920648.999,2257,466232000.0,73.4,3369950.0,5279.78679793,8.53531667001,null,
2017-12-15,23603857.113,2606,470097000.0,73.95,3811390.0,6466.82219774,10.56515376,null,
2017-12-16,15767250.8162,2681,451653000.0,70.98,6277910.0,6865.55609652,9.62955399,null,
2017-12-17,17167540.4568,2764,530861000.0,83.33,6839700.0,6792.22572433,12.78974204,null,
2017-12-18,14618347.318,2255,546632000.0,85.72,6894280.0,5293.53624265,7.48681696001,null,
2017-12-19,20840764.0406,2786,595268000.0,93.27,8885100.0,7603.44296678,11.03897366,null,
2017-12-20,15787300.4943,2604,589168000.0,92.2,6906580.0,6259.40070539,9.78169338999,null,
2017-12-21,23153393.3341,2748,613739000.0,95.96,7503270.0,5672.21319508,9.32013440001,null,
2017-12-22,19327392.1322,2266,600220000.0,93.76,5163150.0,6842.95799856,7.7617382,null,
2017-12-23,18721803.8838,2034,495610000.0,77.33,3755830.0,6343.80323741,14.80374673,null,
2017-12-24,19776381.2903,1906,561755000.0,87.57,4731560.0,7006.31773856,5.84486205,null,
2017-12-25,20399209.1961,1878,582760000.0,90.74,3238670.0,6076.07477458,4.97800301999,null,
2017-12-26,15518619.1531,2132,589418000.0,91.69,5635200.0,6543.46514182,5.61005726,null,
2017-12-27,16324159.2129,2427,607800000.0,94.46,4378580.0,6003.47044566,6.15364040999,null,
2017-12-28,22895141.3464,2297,617624000.0,95.89,3197220.0,6647.8338646,6.64250971,null,
2017-12-29,17255175.9347,2379,622322000.0,96.53,4725950.0,6924.63786852,6.15996491,null,
2017-12-30,43262648.8012,2254,638593000.0,98.94,4067150.0,6262.12336736,7.31115535,null,
2017-12-31,22343331.7633,1950,543063000.0,84.06,3204200.0,6275.73667905,6.93708240001,null,
2018-01-01,30218971.7963,1884,622804000.0,96.31,3794590.0,6271.19890849,7.15635091999,null,
2018-01-02,36499593.3206,2161,701308000.0,108.34,6666070.0,6856.57131019,8.01675145,null,
2018-01-03,56642451.0498,2070,696885000.0,107.55,6508350.0,6942.78895074,13.10645485,null,
2018-01-04,88347872.654,1964,695098000.0,107.16,5116920.0,6230.35897345,38.14279916,null,
2018-01-05,17272494.4856,1591,743643000.0,114.53,6006190.0,6520.77628905,5.52346088,null,
2018-01-06,18731872.4362,1691,728572000.0,112.09,3359940.0,6221.28343236,10.71242756,null,
2018-01-07,43210208.5045,2127,740164000.0,113.77,5956510.0,6829.34468688,16.69388485,null,
2018-01-08,31154195.3672,3011,727897000.0,111.77,5565010.0,6157.75464458,10.19837708,null,
2018-01-09,25169476.5839,2032,729859000.0,111.96,6454540.0,5985.31936344,8.61553521998,null,
2018-01-10,23639198.6244,2049,761937000.0,116.78,3557950.0,7534.45133164,9.39762080999,null,
2018-01-11,27740724.3384,2403,743886000.0,113.88,4731780.0,5818.2305661,8.71248514,null,
2018-01-12,24870770.3853,2194,672739000.0,102.89,3361030.0,5791.27351328,7.61418906002,null,
2018-01-13,24968052.6009,2447,765207000.0,116.94,4179010.0,7521.01773562,9.53467282,null,
2018-01-14,28202880.4468,2238,801910000.0,122.4,3883150.0,6155.19372629,8.33013815999,null,
2018-01-15,23905672.6553,2110,723840000.0,110.38,3211450.0,6936.94825791,7.97131694,null,
2018-01-16,28823761.5489,1773,688934000.0,104.95,5137380.0,5202.71119344,20.58217769,null,
2018-01-17,16601091.2818,2144,546118000.0,83.13,2774880.0,6712.30615112,6.90716892998,null,
2018-01-18,24522980.2492,2205,562874000.0,85.59,3014690.0,6865.06278376,11.07042542,null,
2018-01-19,17991684.6151,2284,543970000.0,82.63,10034400.0,6582.01372916,8.11882807,null,
2018-01-20,16789001.6806,1767,691758000.0,104.97,2699830.0,6640.42067689,2.16862924,null,
2018-01-21,21411350.9217,1620,782277000.0,118.59,1261630.0,6456.21414932,2.70395160999,null,
2018-01-22,17229448.6949,1527,674194000.0,102.11,1532190.0,6051.85835705,2.45134966,null,
2018-01-23,16583476.6587,1604,598622000.0,90.58,1098310.0,6379.83583303,3.86471705999,null,
2018-01-24,16579629.1679,1655,607251000.0,91.79,946761.0,6990.86236349,2.06608816002,null,
2018-01-25,17680815.0813,1863,640414000.0,96.7,1075030.0,6379.83583303,15.85398463,null,
2018-01-26,20948728.4832,2036,604873000.0,91.25,2048920.0,5598.08130138,29.54127891,null,
2018-01-27,23841833.4807,2100,602601000.0,90.83,1407310.0,7503.04636698,32.97086288,null,
2018-01-28,19290179.8334,1942,613974000.0,92.44,1520330.0,6083.30825208,13.71859049,null,
2018-01-29,16614201.2395,1841,619241000.0,93.15,4818180.0,5988.95856723,10.77117023,null,
2018-01-30,31283383.5687,2513,653214000.0,98.17,7570670.0,6901.00552077,23.37333779,null,
2018-01-31,28207321.1891,2829,598813000.0,89.9,4526180.0,6816.62015909,17.51587038,null,
2018-02-01,22028302.635,2323,652279000.0,97.83,2265020.0,6347.80765085,22.41519787,null,
2018-02-02,24502314.2855,2457,557808000.0,83.58,3148590.0,6530.1903514,26.92466587,null,
2018-02-03,21221747.9937,2237,534168000.0,79.96,1370310.0,6632.50259805,15.40267907,null,
2018-02-04,23911885.0367,2065,593827000.0,88.8,1309740.0,6556.8805027,14.34221001,null,
2018-02-05,15512658.8648,1989,489213000.0,73.08,1315890.0,5693.898944,12.78724307,null,
2018-02-06,14087497.7049,2079,395518000.0,59.04,2456810.0,6717.0214105,17.22393367,null,
2018-02-07,16931360.6717,2146,482685000.0,71.98,1017250.0,6881.61067685,24.15172751,null,
2018-02-08,16231574.51,1977,456585000.0,68.01,998346.0,6134.28644045,9.53973506001,null,
2018-02-09,18089798.3006,1967,494228000.0,73.55,1841070.0,5974.14553265,13.07514532,null,
2018-02-10,19950054.4165,1949,541484000.0,80.52,1344870.0,7037.3032261,12.3403162599,null,
2018-02-11,13161740.45,1856,517635000.0,76.89,633865.0,6258.84047985,13.82236955,null,
2018-02-12,12776692.4672,2031,466070000.0,69.17,927667.0,5934.1103057,11.92165803,null,
2018-02-13,16056723.7723,2086,523692000.0,77.65,930951.0,6681.4345421,10.1051398,null,
2018-02-14,13192770.3054,2098,493098000.0,73.04,888925.0,6810.43694005,10.85044887,null,
2018-02-15,15300099.7114,1972,549575000.0,81.32,1264440.0,6143.18315755,16.76675179,null,
2018-02-16,13823404.0814,1864,589279000.0,87.12,992508.0,6196.56346015,11.81579747,null,
2018-02-17,19108466.9207,1875,609368000.0,90.01,1790480.0,6370.0494436,12.69784082,null,
2018-02-18,17279290.3368,1739,656682000.0,96.9,1290070.0,6334.4625752,11.87234862,null,
2018-02-19,14325415.0049,1886,573613000.0,84.57,1142280.0,6503.5002001,7.81555844,null,
2018-02-20,14131608.6143,1878,599421000.0,88.29,1869820.0,5876.28164455,16.43396226,null,
2018-02-21,15456055.6975,1840,546976000.0,80.49,1335400.0,6552.43214415,10.27586573,null,
2018-02-22,13391967.8263,1710,508513000.0,74.76,809800.0,6851.08877109,9.92094847998,null,
2018-02-23,13067109.3906,1731,492533000.0,72.34,723820.0,6095.57250804,10.81408989,null,
2018-02-24,13105407.2841,1713,517955000.0,76.0,744244.0,6161.63723896,7.37458678,null,
2018-02-25,14192536.8888,1762,489310000.0,71.74,2970440.0,6091.16819265,13.45112407,null,
2018-02-26,18042200.2434,1774,492089000.0,72.08,904745.0,6218.89333914,7.10062877997,null,
2018-02-27,14254267.3541,1937,515474000.0,75.44,699347.0,6985.24421803,11.83906735,null,
2018-02-28,15269544.9342,1832,532293000.0,77.82,2436670.0,6042.72072329,3.95233741,null,
2018-03-01,20928513.397,1785,510536000.0,74.57,1298860.0,6016.29483091,39.84554963,null,
2018-03-02,14739989.1994,1818,540622000.0,78.9,1502120.0,6496.36520897,4.90606672,null,
2018-03-03,14383389.5881,1667,552892000.0,80.61,1137500.0,6139.615662,8.65255108,null,
2018-03-04,14067132.3496,1559,550953000.0,80.26,1230430.0,6029.50777708,8.41396054,null,
2018-03-05,16991767.9718,1699,555098000.0,80.79,1433830.0,6166.04155438,9.79846741998,null,
2018-03-06,16120739.5302,1787,562566000.0,81.8,907286.0,6610.87740936,6.82396114,null,
2018-03-07,22182419.1159,1581,501230000.0,72.81,1668380.0,6042.72072328,14.50790129,null,
2018-03-08,15859018.0293,1547,457780000.0,66.44,976633.0,6465.53500129,10.5050801,null,
2018-03-09,11670960.8741,1619,402729000.0,58.4,1061970.0,5941.42146918,11.97203797,null,
2018-03-10,12073337.4565,1849,423898000.0,61.41,616342.0,6804.66728679,12.55189346,null,
2018-03-11,11142138.1362,1613,419326000.0,60.69,770623.0,6210.08470834,7.79799207002,null,
2018-03-12,11990786.1363,1837,439016000.0,63.49,554842.0,7676.72173519,11.13437446,null,
2018-03-13,11083030.5084,1636,415265000.0,59.98,503090.0,6681.3464557,5.16946061,null,
2018-03-14,21081305.3644,1531,412908000.0,59.59,529811.0,5487.77698338,34.29519817,null,
2018-03-15,14752422.1217,1681,362766000.0,52.31,1949070.0,6571.54381954,7.07626464,null,
2018-03-16,15873257.9337,1635,388092000.0,55.91,613356.0,6445.12688515,4.78126732,null,
2018-03-17,11286820.0341,1493,377647000.0,54.35,434109.0,6235.81288618,1.05272358,null,
2018-03-18,8905323.99675,1560,336692000.0,48.41,705667.0,6152.95942825,1.36723470998,null,
2018-03-19,12841810.6927,1634,349350000.0,50.19,514038.0,6061.38455371,1.31064218999,null,
2018-03-20,8681797.82686,1534,368911000.0,52.95,465414.0,6161.68084487,1.21772183999,null,
2018-03-21,9624146.51752,1561,367042000.0,52.64,453314.0,6323.02705241,1.36331126999,null,
2018-03-22,14130487.3851,1656,362260000.0,51.91,418405.0,6527.98034309,1.61363186,null,
2018-03-23,7472706.4799,1463,353739000.0,50.64,579637.0,5799.74205498,1.71985980999,null,
2018-03-24,8239673.52436,1413,375576000.0,53.72,483691.0,6179.12367813,1.19940887001,null,
2018-03-25,11814532.2093,1568,356164000.0,50.9,437620.0,6214.00934461,1.71221969003,null,
2018-03-26,8129829.15115,1563,354055000.0,50.55,607113.0,6623.91592595,1.34925192001,null,
2018-03-27,9508543.08907,1492,337412000.0,48.13,303660.0,6235.81288619,1.26702417003,null,
2018-03-28,7382521.55473,1314,322322000.0,45.94,387453.0,5804.10276332,1.61023718,null,
2018-03-29,9046379.3755,1319,328939000.0,46.84,778691.0,5930.56330438,1.75789165,null,
2018-03-30,6991793.35952,1461,284340000.0,40.46,521679.0,6728.57292549,1.30690900999,null,
2018-03-31,8029732.697,1457,273158000.0,38.83,297747.0,6558.50530132,2.31224575998,null,
